Log_NR,STANDORT,NORD_CHTOPO,OST_CHTOPO
201,Robert-Walser Platz,47.13071,7.24101
202,Schiffländte Biel,47.1307,7.23625
203,Zentralplatz,47.13665,7.24699
204,Stadtpark,47.14111,7.25349
205,Schüssinsel,47.14475,7.26514
206,Stöckenmatt (Umland),47.13831,7.2955
207,Meteo Schweiz 3,47.17903,7.41504
208,Brüggmattenweg,47.13002,7.26234
209,Pianostrasse,47.1354,7.25578
210,Kongresshaus,47.13498,7.24879
211,Alexander Haser Strasse,47.12816,7.24923
212,Strandboden,47.13403,7.2306
213,Unterer Kanalweg,47.11993,7.25397
214,Längholz,47.12847,7.26641
215,Altstadt,47.14202,7.24565
216,Mittelstrasse,47.12521,7.23884
217,Mett (Scheurenweg),47.14421,7.28288
218,Bahnhofplatz,47.1334,7.24309
219,Nidaugasse,47.13892,7.2469
220,Neumarktstrasse,47.1373,7.25128
221,Gurzelen,47.14667,7.26361
222,Vogelsang,47.14704,7.24425
223,Lischenweg,47.12586,7.25734
224,Bürenstrasse,47.15084,7.27134
225,Roger-Federer Allee,47.15845,7.27896
226,Ringstrasse,47.12244,7.25095
227,Redern,47.1504,7.26095
228,Südstrasse,47.14211,7.27111
229,Viaduktstrasse,47.13571,7.23864
230,Vingelz,47.13093,7.22097
231,Hundemätteli,47.12626,7.23233
232,Blumenstrasse,47.14425,7.25556
233,Kita Zukunft,47.13315,7.24939
234,Mohnweg,47.15893,7.29227
235,Fuchsenried,47.1507,7.25656
236,Taubenloch (Biel),47.14966,7.26498
237,Weyermatt,47.12548,7.23324
238,Schüsspromenade,47.13868,7.24175
239,Lengnaustrasse,47.16292,7.29252
240,Mon-Désir-Weg,47.13622,7.26175
241,Bözingenberg,47.17228,7.28401
242,Tissot Areal,47.15387,7.27824
243,Zollhausstrasse,47.15588,7.26796
244,Tiergarten,47.15917,7.26951
245,Taubenloch,47.15803,7.26402
246,Evilard 2,47.15602,7.24889
247,Evilard 1,47.14997,7.23944
248,Taubenloch Frinvillier,47.16992,7.25999
249,Steinbruch,47.1603,7.26285
250,Meteo Schweiz 2,47.17903,7.41504
251,Sonnhalde,47.14764,7.2524
252,Sonnenstrasse,47.14966,7.26498
253,Eidechsweg,47.14692,7.27234
254,Flurweg,47.14855,7.28082
